unit_id,localized_name,tech_id,group,stats,description
combat_unit_type_airforce_11,Adaptive Air Superiority Fighter,tech_military_airforce_11,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=110; warplanes=5.5; ammunition=11; advanced_weaponry=4; oil=11; offense=110; defense=220; morale_damage_mult=0.55; provinces_captured_mult=0.55; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Sensor fusion, adaptive flight controls, and machine-speed threat analysis turn the air-superiority fighter into a node in a battlespace-wide combat network. Pilot and onboard intelligence share targeting, electronic warfare, and maneuver decisions fast enough to contest skies saturated with missiles, drones, and decoys."
combat_unit_type_airforce_12,Hypersonic Strike Fighter,tech_military_airforce_12,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=120; warplanes=6; ammunition=12; advanced_weaponry=4.5; oil=12; offense=120; defense=240; morale_damage_mult=0.60; provinces_captured_mult=0.60; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Sustained hypersonic flight compresses the distance between detection and impact to minutes. Extreme-temperature structures, adaptive propulsion, and predictive guidance allow this strike fighter to penetrate defended airspace before conventional interceptors can assemble an effective response."
combat_unit_type_airforce_13,Autonomous Air Superiority Aircraft,tech_military_airforce_13,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=130; warplanes=6.5; ammunition=13; advanced_weaponry=5; oil=13; offense=130; defense=260; morale_damage_mult=0.65; provinces_captured_mult=0.65; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"An autonomous air-superiority aircraft can search, classify, maneuver, and engage without the physiological limits of a human cockpit. Distributed combat intelligence lets formations divide targets, sacrifice decoys, and reshape their tactics continuously as the electromagnetic environment changes."
combat_unit_type_airforce_14,Swarm Carrier Aircraft,tech_military_airforce_14,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=140; warplanes=7; ammunition=14; advanced_weaponry=5.5; oil=14; offense=140; defense=280; morale_damage_mult=0.70; provinces_captured_mult=0.70; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Rather than carrying only weapons, the aircraft carries an expendable air force of its own. Reconnaissance drones, jammers, interceptors, and loitering munitions spill from internal bays and cooperate as a swarm, forcing an enemy to defend against hundreds of coordinated threats instead of one airframe."
combat_unit_type_airforce_15,Directed-Energy Combat Aircraft,tech_military_airforce_15,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=150; warplanes=7.5; ammunition=15; advanced_weaponry=6; oil=15; offense=150; defense=300; morale_damage_mult=0.75; provinces_captured_mult=0.75; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"High-density power systems make lasers and microwave weapons practical aboard combat aircraft. Missiles can be burned out of the sky, sensors blinded at line of sight, and lightly protected targets struck at the speed of light while kinetic weapons remain available for hardened objectives."
combat_unit_type_airforce_16,Stratospheric Combat Aircraft,tech_military_airforce_16,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=160; warplanes=8; ammunition=16; advanced_weaponry=6.5; oil=16; offense=160; defense=320; morale_damage_mult=0.80; provinces_captured_mult=0.80; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Designed to fight above the weather and beyond the comfortable reach of ordinary aviation, stratospheric combat aircraft loiter at the edge of space for extraordinary periods. Long-range sensors, high-energy weapons, and thin-atmosphere propulsion turn altitude itself into armor and reach."
combat_unit_type_airforce_17,Near-Space Interceptor,tech_military_airforce_17,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=170; warplanes=8.5; ammunition=17; advanced_weaponry=7; oil=17; offense=170; defense=340; morale_damage_mult=0.85; provinces_captured_mult=0.85; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Near-space interceptors patrol the boundary where aircraft, boost vehicles, and orbital systems begin to overlap. They climb into the upper atmosphere on demand, destroy hypersonic threats during vulnerable flight phases, and descend again without the infrastructure demanded by a true spacecraft."
combat_unit_type_airforce_18,Fusion-Powered Aerospace Fighter,tech_military_airforce_18,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=180; warplanes=9; ammunition=18; advanced_weaponry=7.5; oil=18; offense=180; defense=360; morale_damage_mult=0.90; provinces_captured_mult=0.90; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Compact fusion power removes fuel endurance as the defining limit of military aviation. Vast electrical reserves feed propulsion, sensors, active protection, and directed-energy weapons, allowing a fighter to remain on station until maintenance or crew tolerance—not fuel—forces it home."
combat_unit_type_airforce_19,Orbital-Atmospheric Interceptor,tech_military_airforce_19,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=190; warplanes=9.5; ammunition=19; advanced_weaponry=8; oil=19; offense=190; defense=380; morale_damage_mult=0.95; provinces_captured_mult=0.95; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Orbital-atmospheric interceptors are built to cross the old boundary between air defense and space control. They can meet descending spacecraft, hunt weapons in near orbit, and return to atmospheric combat with a maneuver envelope no conventional aircraft can match."
combat_unit_type_airforce_20,Autonomous Aerospace Combat Platform,tech_military_airforce_20,combat_unit_group_cavalry,max_manpower=1000; supply_capacity=200; warplanes=10; ammunition=20; advanced_weaponry=8.5; oil=20; offense=200; defense=400; morale_damage_mult=1.00; provinces_captured_mult=1.00; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"A fully autonomous aerospace combat platform treats atmosphere, near-space, and orbital approaches as one continuous battlespace. Self-maintaining systems, machine command, and immense onboard energy reserves let it patrol for months, coordinating lesser craft as extensions of a single distributed combat intelligence."
combat_unit_type_infantry_11,Networked Combat Infantry,tech_military_ground_forces_11,combat_unit_group_infantry,max_manpower=1000; supply_capacity=220; small_arms=5.5; ammunition=11; advanced_weaponry=4; tanks=5.5; oil=5.5; communication_services=5.5; offense=110; defense=120; morale_loss_add=0; morale_recovery_mult=0.05; naval_invasion_efficiency_mult=-0.25,"Every squad becomes a sensor and every soldier a terminal in a shared tactical network. Helmet displays, autonomous reconnaissance, precision navigation, and machine-assisted fire control let dispersed infantry fight with a common picture of threats that would once have required headquarters-level intelligence."
combat_unit_type_infantry_12,Powered Exoskeleton Infantry,tech_military_ground_forces_12,combat_unit_group_infantry,max_manpower=1000; supply_capacity=240; small_arms=6; ammunition=12; advanced_weaponry=4.5; tanks=6; oil=6; communication_services=6; offense=120; defense=130; morale_loss_add=0; morale_recovery_mult=0.10; naval_invasion_efficiency_mult=-0.25,"Powered exoskeletons move armor, ammunition, sensors, and heavy weapons without exhausting the soldier inside them. Infantry can cross broken terrain at vehicle-like pace, survive recoil from weapons once considered crew-served, and carry protection that would otherwise make dismounted movement impossible."
