ship_id,localized_name,tech_id,class,stats,rule,description
ship_type_submarine_11,Autonomous Attack Submarine,tech_military_naval_forces_11,submarine,modification_construction_cost=280; modifier.ship_max_distance_to_port_add=13; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=6800; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=10; modifier.ship_supply_capacity_add=70; modifier.ship_hull_damage_add=140; modifier.ship_crew_damage_add=60; modifier.ship_armor_add=90; modifier.ship_critical_hit_chance_add=0.42; modifier.ship_critical_hit_multiplier_add=3.7; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=55; modifier.ship_readiness_gain_add=17; modifier.ship_accuracy_add=31; modifier.ship_visibility_add=20; modifier.ship_detection_add=80; modifier.ship_blockade_strength_add=220; construction_goods.goods_input_steel_add=2900; construction_goods.goods_input_engines_add=1450; construction_goods.goods_input_computers_add=800; materiel_goods.goods_input_steel_add=1.4; materiel_goods.goods_input_ammunition_add=1.4; materiel_goods.goods_input_lead_add=1.6; materiel_goods.goods_input_computers_add=1.2,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.",Autonomous control systems let the attack submarine stalk contacts for long periods with a drastically reduced crew. Passive sensor fusion and machine navigation keep it quiet while unmanned auxiliaries probe waters too dangerous for the mother vessel.
ship_type_submarine_12,Hypersonic Arsenal Submarine,tech_military_naval_forces_12,submarine,modification_construction_cost=300; modifier.ship_max_distance_to_port_add=14; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=7600; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=11; modifier.ship_supply_capacity_add=80; modifier.ship_hull_damage_add=155; modifier.ship_crew_damage_add=65; modifier.ship_armor_add=100; modifier.ship_critical_hit_chance_add=0.44; modifier.ship_critical_hit_multiplier_add=3.9; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=60; modifier.ship_readiness_gain_add=18; modifier.ship_accuracy_add=32; modifier.ship_visibility_add=22; modifier.ship_detection_add=90; modifier.ship_blockade_strength_add=240; construction_goods.goods_input_steel_add=3100; construction_goods.goods_input_engines_add=1550; construction_goods.goods_input_computers_add=900; materiel_goods.goods_input_steel_add=1.6; materiel_goods.goods_input_ammunition_add=1.6; materiel_goods.goods_input_lead_add=1.8; materiel_goods.goods_input_computers_add=1.4,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Large hypersonic weapons turn the submarine into a concealed arsenal capable of striking ships, air defenses, and land targets before warning networks can react. The hull becomes less a torpedo boat than a mobile, submerged first-strike battery."
ship_type_submarine_13,Uncrewed Hunter Submarine,tech_military_naval_forces_13,submarine,modification_construction_cost=320; modifier.ship_max_distance_to_port_add=15; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=8400; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=12; modifier.ship_supply_capacity_add=90; modifier.ship_hull_damage_add=170; modifier.ship_crew_damage_add=70; modifier.ship_armor_add=110; modifier.ship_critical_hit_chance_add=0.46; modifier.ship_critical_hit_multiplier_add=4.1; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=65; modifier.ship_readiness_gain_add=19; modifier.ship_accuracy_add=33; modifier.ship_visibility_add=24; modifier.ship_detection_add=100; modifier.ship_blockade_strength_add=260; construction_goods.goods_input_steel_add=3300; construction_goods.goods_input_engines_add=1650; construction_goods.goods_input_computers_add=1000; materiel_goods.goods_input_steel_add=1.8; materiel_goods.goods_input_ammunition_add=1.8; materiel_goods.goods_input_lead_add=2; materiel_goods.goods_input_computers_add=1.6,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","With no crew to protect, the hunter submarine can dive deeper, remain submerged longer, and accept maneuvers that would injure human sailors. It is designed to wait almost motionless for weeks before accelerating violently to attack a detected contact."
ship_type_submarine_14,Drone Carrier Submarine,tech_military_naval_forces_14,submarine,modification_construction_cost=340; modifier.ship_max_distance_to_port_add=16; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=9200; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=13; modifier.ship_supply_capacity_add=100; modifier.ship_hull_damage_add=185; modifier.ship_crew_damage_add=75; modifier.ship_armor_add=120; modifier.ship_critical_hit_chance_add=0.48; modifier.ship_critical_hit_multiplier_add=4.3; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=70; modifier.ship_readiness_gain_add=20; modifier.ship_accuracy_add=34; modifier.ship_visibility_add=26; modifier.ship_detection_add=110; modifier.ship_blockade_strength_add=280; construction_goods.goods_input_steel_add=3500; construction_goods.goods_input_engines_add=1750; construction_goods.goods_input_computers_add=1100; materiel_goods.goods_input_steel_add=2; materiel_goods.goods_input_ammunition_add=2; materiel_goods.goods_input_lead_add=2.2; materiel_goods.goods_input_computers_add=1.8,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Internal bays release autonomous underwater vehicles that scout, mine, jam, relay communications, and attack independently. A single submarine can spread a web of sensors and weapons across an ocean chokepoint without revealing its own position."
ship_type_submarine_15,Metamaterial Stealth Submarine,tech_military_naval_forces_15,submarine,modification_construction_cost=360; modifier.ship_max_distance_to_port_add=17; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=10000; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=14; modifier.ship_supply_capacity_add=110; modifier.ship_hull_damage_add=200; modifier.ship_crew_damage_add=80; modifier.ship_armor_add=130; modifier.ship_critical_hit_chance_add=0.5; modifier.ship_critical_hit_multiplier_add=4.5; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=75; modifier.ship_readiness_gain_add=21; modifier.ship_accuracy_add=35; modifier.ship_visibility_add=28; modifier.ship_detection_add=120; modifier.ship_blockade_strength_add=300; construction_goods.goods_input_steel_add=3700; construction_goods.goods_input_engines_add=1850; construction_goods.goods_input_computers_add=1200; materiel_goods.goods_input_steel_add=2.2; materiel_goods.goods_input_ammunition_add=2.2; materiel_goods.goods_input_lead_add=2.4; materiel_goods.goods_input_computers_add=2,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Metamaterial coatings and actively controlled hull surfaces manipulate acoustic, magnetic, and electromagnetic signatures instead of merely dampening them. The submarine attempts not only to become quiet, but to make hostile sensors perceive the wrong object in the wrong place."
ship_type_submarine_16,Fusion Attack Submarine,tech_military_naval_forces_16,submarine,modification_construction_cost=380; modifier.ship_max_distance_to_port_add=18; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=10800; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=15; modifier.ship_supply_capacity_add=120; modifier.ship_hull_damage_add=215; modifier.ship_crew_damage_add=85; modifier.ship_armor_add=140; modifier.ship_critical_hit_chance_add=0.52; modifier.ship_critical_hit_multiplier_add=4.7; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=80; modifier.ship_readiness_gain_add=22; modifier.ship_accuracy_add=36; modifier.ship_visibility_add=30; modifier.ship_detection_add=130; modifier.ship_blockade_strength_add=320; construction_goods.goods_input_steel_add=3900; construction_goods.goods_input_engines_add=1950; construction_goods.goods_input_computers_add=1300; materiel_goods.goods_input_steel_add=2.4; materiel_goods.goods_input_ammunition_add=2.4; materiel_goods.goods_input_lead_add=2.6; materiel_goods.goods_input_computers_add=2.2,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Compact fusion power gives the attack submarine immense endurance and electrical reserve without the acoustic compromises of older high-output plants. High-speed transit, directed-energy auxiliaries, and sustained sensor operation no longer compete so sharply for reactor capacity."
ship_type_submarine_17,Abyssal Sensor Submarine,tech_military_naval_forces_17,submarine,modification_construction_cost=400; modifier.ship_max_distance_to_port_add=19; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=11600; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=16; modifier.ship_supply_capacity_add=130; modifier.ship_hull_damage_add=230; modifier.ship_crew_damage_add=90; modifier.ship_armor_add=150; modifier.ship_critical_hit_chance_add=0.54; modifier.ship_critical_hit_multiplier_add=4.9; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=85; modifier.ship_readiness_gain_add=23; modifier.ship_accuracy_add=37; modifier.ship_visibility_add=32; modifier.ship_detection_add=140; modifier.ship_blockade_strength_add=340; construction_goods.goods_input_steel_add=4100; construction_goods.goods_input_engines_add=2050; construction_goods.goods_input_computers_add=1400; materiel_goods.goods_input_steel_add=2.6; materiel_goods.goods_input_ammunition_add=2.6; materiel_goods.goods_input_lead_add=2.8; materiel_goods.goods_input_computers_add=2.4,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Abyssal sensor submarines use vast distributed arrays, seabed drones, and pressure-tolerant probes to turn the deep ocean into an intelligence domain. They can map distant propeller noise, thermal disturbances, and undersea infrastructure from depths beyond routine naval operations."
ship_type_submarine_18,Near-Space Linked Submarine,tech_military_naval_forces_18,submarine,modification_construction_cost=420; modifier.ship_max_distance_to_port_add=20; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=12400; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=17; modifier.ship_supply_capacity_add=140; modifier.ship_hull_damage_add=245; modifier.ship_crew_damage_add=95; modifier.ship_armor_add=160; modifier.ship_critical_hit_chance_add=0.56; modifier.ship_critical_hit_multiplier_add=5.1; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=90; modifier.ship_readiness_gain_add=24; modifier.ship_accuracy_add=38; modifier.ship_visibility_add=34; modifier.ship_detection_add=150; modifier.ship_blockade_strength_add=360; construction_goods.goods_input_steel_add=4300; construction_goods.goods_input_engines_add=2150; construction_goods.goods_input_computers_add=1500; materiel_goods.goods_input_steel_add=2.8; materiel_goods.goods_input_ammunition_add=2.8; materiel_goods.goods_input_lead_add=3; materiel_goods.goods_input_computers_add=2.6,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Tight links to near-space relays give a submerged fleet access to targeting and navigation data without long exposure at the surface. Burst communications synchronize undersea weapons with aircraft, satellites, and surface fleets across planetary distances."
ship_type_submarine_19,Self-Sustaining Deep-Ocean Submarine,tech_military_naval_forces_19,submarine,modification_construction_cost=440; modifier.ship_max_distance_to_port_add=21; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=13200; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=18; modifier.ship_supply_capacity_add=150; modifier.ship_hull_damage_add=260; modifier.ship_crew_damage_add=100; modifier.ship_armor_add=170; modifier.ship_critical_hit_chance_add=0.58; modifier.ship_critical_hit_multiplier_add=5.3; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=95; modifier.ship_readiness_gain_add=25; modifier.ship_accuracy_add=39; modifier.ship_visibility_add=36; modifier.ship_detection_add=160; modifier.ship_blockade_strength_add=380; construction_goods.goods_input_steel_add=4500; construction_goods.goods_input_engines_add=2250; construction_goods.goods_input_computers_add=1600; materiel_goods.goods_input_steel_add=3; materiel_goods.goods_input_ammunition_add=3; materiel_goods.goods_input_lead_add=3.2; materiel_goods.goods_input_computers_add=2.8,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","Closed-loop stores, automated maintenance, and onboard fabrication let this submarine remain in deep water for extraordinary deployments. It carries not merely spare parts but the machine tools and raw feedstock needed to manufacture many replacements at sea."
ship_type_submarine_20,Pelagic Dominance Submarine,tech_military_naval_forces_20,submarine,modification_construction_cost=460; modifier.ship_max_distance_to_port_add=22; modifier.ship_construction_progress_max_add=25; modifier.ship_hit_points_max_add=14000; modifier.ship_crew_max_add=20; modifier.ship_movement_speed_add=19; modifier.ship_supply_capacity_add=160; modifier.ship_hull_damage_add=275; modifier.ship_crew_damage_add=105; modifier.ship_armor_add=180; modifier.ship_critical_hit_chance_add=0.6; modifier.ship_critical_hit_multiplier_add=5.5; modifier.ship_vulnerability_add=0; modifier.ship_screening_add=100; modifier.ship_readiness_gain_add=26; modifier.ship_accuracy_add=40; modifier.ship_visibility_add=38; modifier.ship_detection_add=170; modifier.ship_blockade_strength_add=400; construction_goods.goods_input_steel_add=4700; construction_goods.goods_input_engines_add=2350; construction_goods.goods_input_computers_add=1700; materiel_goods.goods_input_steel_add=3.2; materiel_goods.goods_input_ammunition_add=3.2; materiel_goods.goods_input_lead_add=3.4; materiel_goods.goods_input_computers_add=3,"Continue the final live per-tier delta (Era9→10; carrier Era7→8). Floors: crew >=20; vulnerability, marine capacity and carrying capacity >=0. Preserve all constant group, distance-damage, accuracy-vs-class, icon/profile, AI and flagship fields from the current final ship.","The pelagic dominance submarine is a roaming undersea command system surrounded by autonomous scouts, weapons, decoys, and repair drones. It treats whole ocean basins as a continuous maneuver space and can prosecute a campaign without approaching a friendly port."
