id,name,tech_id,group,stats,scaffold
mobilization_option_modern_autonomous_strategic_airlift,Autonomous Strategic Airlift,tech_air_infrastructure_14,transport,aeroplanes=2; oil=3; software=1; military_formation_army_movement_speed_mult=0.55; military_formation_mobilization_speed_mult=0.15,Clone possible/on_activate/on_deactivate/AI scaffolding from mobilization_option_air_transport; preserve mutual-exclusion behavior for transport options.
mobilization_option_modern_near_space_airlift,Near-Space Airlift,tech_air_infrastructure_19,transport,aeroplanes=4; oil=4; software=2; computers=1; military_formation_army_movement_speed_mult=0.75; military_formation_mobilization_speed_mult=0.25,Clone air-transport scaffolding; this is the high-end air mobility option.
mobilization_option_modern_autonomous_recon,Autonomous Reconnaissance Swarms,tech_military_ground_forces_12,reconnaissance,warplanes=2; computers=2; software=3; unit_provinces_captured_mult=0.35; character_battle_condition_rapid_advance_mult=0.35; character_battle_condition_lost_mult=-0.35,Clone mobilization_option_aerial_recon scaffolding and group semantics.
mobilization_option_modern_powered_infantry,Powered Infantry Support,tech_military_ground_forces_15,specialist_support,advanced_weaponry=2; industrial_robots=1; electricity=1; unit_offense_add=25; unit_defense_add=20; unit_morale_damage_mult=0.15,Clone a live specialist_support option's activation/deactivation scaffolding.
mobilization_option_modern_directed_energy_weapons,Directed-Energy Weapons,tech_military_ground_forces_18,special_weapons,advanced_weaponry=3; electricity=3; computers=1; unit_offense_add=30; unit_defense_add=15; unit_morale_damage_mult=0.15,Clone live special_weapons scaffolding; do not copy chemical-weapons-specific capability requirements.
mobilization_option_modern_autonomous_ground_logistics,Autonomous Ground Logistics,tech_military_ground_forces_20,transport,automobiles=2; industrial_robots=2; software=2; electricity=2; military_formation_army_movement_speed_mult=0.60; military_formation_mobilization_speed_mult=0.40,Clone live transport scaffolding and mutual exclusions.
mobilization_option_modern_ai_battle_management,AI Battle Management,tech_military_support_11,tech_support,computers=2; software=4; communication_services=2; unit_provinces_captured_mult=0.35; character_battle_condition_surprise_maneuver_mult=0.35; character_battle_condition_lost_mult=-0.35,Clone mobilization_option_digital_cryptography_recon scaffolding.
mobilization_option_modern_regenerative_field_medicine,Regenerative Field Medicine,tech_military_support_14,medic_support,pharmaceuticals=6; industrial_robots=3; electricity=1; unit_recovery_rate_add=0.75; unit_morale_loss_mult=-0.60,"Clone mobilization_option_field_hospitals scaffolding, including medic-support activation/deactivation penalties and mutual exclusions."
mobilization_option_modern_loitering_munition_swarms,Loitering Munition Swarms,tech_military_support_17,special_weapons,aeroplanes=2; computers=3; advanced_weaponry=2; unit_offense_add=25; unit_defense_add=15; unit_morale_damage_mult=0.15,Clone mobilization_option_drones scaffolding.
mobilization_option_modern_quantum_command_network,Quantum Command Network,tech_military_support_20,tech_support,computers=3; software=6; telecommunications=4; unit_provinces_captured_mult=0.45; character_battle_condition_surprise_maneuver_mult=0.45; character_battle_condition_lost_mult=-0.45; unit_defense_add=15,Clone live tech_support scaffolding; this supersedes but does not delete earlier options.
