family,pmg,active_buildings,current_pm_refs,future_owner_chain,future_new_pm_count,future_unlock_eras,coverage_status
agriculture,pmg_coffee_agriculture,building_coffee_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_fabric_agriculture,building_cotton_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_fish_agriculture,building_fishing_wharf,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_fruit_agriculture,building_banana_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_grain_agriculture,building_wheat_farm building_rice_farm building_rye_farm building_maize_farm building_millet_farm,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_meat_agriculture,building_livestock_ranch,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_opium_agriculture,building_opium_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_rubber_agriculture,building_rubber_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_tea_agriculture,building_tea_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_tobacco_agriculture,building_tobacco_plantation,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
agriculture,pmg_wine_agriculture,building_vineyard,11,tech_agriculture,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
mining,pmg_coal_mining,building_coal_mine,11,tech_mining,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
mining,pmg_gold_mining,building_gold_mine building_gold_field,11,tech_mining,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
mining,pmg_iron_mining,building_iron_mine,11,tech_mining,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
mining,pmg_lead_mining,building_lead_mine,11,tech_mining,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
mining,pmg_oil_mining,building_oil_rig,11,tech_mining,10,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",direct future PMs
