tech_id,current_name,patch_type,modifier,note
tech_military_nuclear_1,Nuclear Physics,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_2,Uranium Mining & Enrichment,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_5,Early Anti-Ballistic Missiles,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_6,Hypersonic Missiles,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_7,Modern Anti-Ballistic Missiles,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_8,High Yield Nuclear Weapons,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_9,AI Operated Nuclear Weapon Systems,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_nuclear_10,Armageddon Weapons,INJECT modifier only,battle_defense_owned_province_mult=0.05; battle_offense_owned_province_mult=0.05; battle_combat_width_mult=0.05; country_authority_mult=0.05,No PM unlock added; deprecated Civil Defence residue remains ignored.
tech_military_space_program_1,Space Physics,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_2,Observatory,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_4,Satellites & Astronauts,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_5,Space Shuttle,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_6,Space Centers,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_7,Re-usable Rockets,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_8,Big Satellite Arrays,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_9,Lunar Bases,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_military_space_program_10,Solar System Exploration,INJECT modifier only,country_prestige_from_army_power_projection_mult=0.03; country_influence_mult=0.05; country_leverage_generation_mult=0.05; unit_navy_experience_gain_mult=0.05; unit_army_experience_gain_mult=0.05,No PM unlock added. Era 3 already has live pm_nuclear_rocket_1 and is not modified by this compatibility fix.
tech_sea_infrastructure_10,Super Marine Complexes,INJECT modifier only,building_port_throughput_add=0.10; building_shipyards_throughput_add=0.05; country_ship_group_capital_ships_construction_efficiency_add=0.50; country_ship_group_cruisers_construction_efficiency_add=0.50; country_ship_group_torpedo_craft_construction_efficiency_add=0.50; country_ship_group_supply_ships_construction_efficiency_add=0.50; country_ship_group_troop_ships_construction_efficiency_add=0.50,Target must be INJECT:tech_sea_infrastructure_10; do not use the suffix-less sample key.
